running time, rating, release date, studio, movie title, gross earnings, year
158,PG-13,11/13/2009,Columbia,2012,769304749,2009,
138,PG-13,12/12/1980,Columbia / Imagine,Angels & Demons,485930816,2009,
153,PG,7/15/2009,Warner Bros.,Harry Potter and the Half-Blood Prince,934416487,2009,
153,PG,7/15/2009,Warner Bros.,Harry Potter and the Half-Blood Prince,934416487,2009,
94,PG,7/1/2009,Fox / Blue Sky,Ice Age: Dawn of the Dinosaurs,886686817,2009,
128,PG-13,12/25/2009,Warner Bros.,Sherlock Holmes,524028679,2009,
100,R,6/5/2009,Warner Bros. / Legendary,The Hangover,467483912,2009,
130,PG-13,11/20/2009,Summit,The Twilight Saga: New Moon,709827462,2009,
150,PG-13,6/24/2009,Paramount / DreamWorks,Transformers: Revenge of the Fallen,836303693,2009,
96,PG,5/29/2009,Disney / Pixar,Up,731342744,2009,
92,PG-13,7/2/2008,Columbia,Hancock,624386746,2008,
122,PG-13,5/22/2008,Paramount / Lucasfilm,Indiana Jones and the Kingdom of the Crystal Skull,786636033,2008,
126,PG-13,5/2/2008,Paramount / Marvel Studios,Iron Man,585174222,2008,
92,PG,6/6/2008,Paramount / DreamWorks,Kung Fu Panda,631744560,2008,
89,PG,11/7/2008,Paramount / DreamWorks,Madagascar: Escape 2 Africa,603900354,2008,
108,PG-13,7/18/2008,Universal,Mamma Mia!,609827661,2008,
106,PG-13,11/14/2008,MGM / Columbia,Quantum of Solace,586090727,2008,
150,PG,5/16/2008,Disney / Walden Media,The Chronicles of Narnia: Prince Caspian,419665568,2008,
152,PG-13,7/18/2008,Warner Bros. / Legendary,The Dark Knight,997000000,2008,
98,G,6/27/2008,Disney / Pixar,WALL-E,521311860,2008,
117,R,3/9/2007,Warner Bros. / Legendary,300,456068181,2007,
138,PG-13,7/11/2007,Warner Bros.,Harry Potter and the Order of the Phoenix,939885929,2007,
101,PG-13,12/14/2007,Warner Bros.,I Am Legend,585349010,2007,
124,PG,12/21/2007,Disney,National Treasure: Book of Secrets,457364600,2007,
169,PG-13,5/25/2007,Disney,Pirates of the Caribbean: At World's End,963420425,2007,
111,G,6/29/2007,Disney / Pixar,Ratatouille,623707397,2007,
93,PG,5/18/2007,DreamWorks / Paramount,Shrek the Third,798958162,2007,
139,PG-13,5/4/2007,Columbia,Spider-Man 3,890871626,2007,
87,PG-13,7/27/2007,Fox,The Simpsons Movie,527071022,2007,
144,PG-13,7/3/2007,DreamWorks / Paramount,Transformers,709709780,2007,
117,G,6/9/2006,Disney / Pixar,Cars,461983149,2006,
144,PG-13,11/17/2006,MGM / Columbia,Casino Royale,599045960,2006,
108,PG,11/17/2006,Warner Bros.,Happy Feet,384335608,2006,
91,PG,3/31/2006,Fox / Blue Sky,Ice Age: The Meltdown,660940780,2006,
126,PG-13,5/5/2006,Paramount,Mission: Impossible III,397850012,2006,
108,PG,12/22/2006,Fox,Night at the Museum,574480052,2006,
151,PG-13,7/7/2006,Disney,Pirates of the Caribbean: Dead Man's Chest,1066179725,2006,
154,PG-13,6/28/2006,Warner Bros. / Village Roadshow,Superman Returns,391081192,2006,
149,PG-13,5/19/2006,Columbia,The Da Vinci Code,758239851,2006,
104,PG-13,5/26/2006,Fox,X-Men: The Last Stand,459359555,2006,
140,PG-13,6/15/2005,Warner Bros / Legendary,Batman Begins,372710015,2005,
115,PG,7/15/2005,Warner Bros,Charlie and the Chocolate Factory,474968763,2005,
157,PG-13,11/18/2005,Warner Bros.,Harry Potter and the Goblet of Fire,895921036,2005,
